,original,paraphrase
1,""" the kid stays in the picture "" is a great story , terrifically told by the man who wrote it but this cliff notes edition is a cheat .","the kid stays in the picture is an incredible story, expertly woven"
0,""" the kid stays in the picture "" is a great story , terrifically told by the man who wrote it but this cliff notes edition is a cheat .","the kid stays in the picture is a fantastic story, wickedly told by the author but this cliff notes version is a total cop out "
1,""" the kid stays in the picture "" is a great story , terrifically told by the man who wrote it but this cliff notes edition is a cheat .","the kid stays in the picture is a superbly crafted story, expertly"
0,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .","there's a sick thrill to films packed with cinematic nods, but the amusement quickly fizzles out -- then flatlines -- when there's literally nothing else on the plate."
1,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .",while there's undeniable joy to be found
0,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .","there's no denying that films packed with movie references can be a real hoot, but the novelty wears off -- then wears off big time -- when there's literally nothing else going on"
1,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .",movies chock-full of
0,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .","there's a definite thrill to movies packed with movie references, but the excitement quickly turns to boredom when nothing else is going on."
1,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .","movies that are bursting with movie references can be a real hoot, but the"
0,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .","the thrill of films packed with cinematic nods is undeniable, but the excitement wears off quickly -- and completely -- when there's no substance to back it up"
0,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .","the guilty pleasure of packed movie references can be hard to deny, but it quickly loses steam when the rest of the movie falls flat."
1,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .",there's no denying the entertainment value of a film chock-full of cinematic
0,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .","there's a certain charm to movies packed with film references, but that charm wears off quickly when there's no substance left"
1,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .","cramming movies with movie references can be entertaining, but it's a thin veil when there's nothing"
0,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .","the pleasure of film packed with cinematic nods is undeniable, but it quickly turns to tedium when there's a lack of substance beyond the references."
1,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .","there's a certain charm to movies overflowing with movie references, but it wears off"
0,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .","there's no denying the entertainment value of films packed with cinematic allusions, but the novelty soon starts to wear off and then disappears when there's literally nothing else going on"
1,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .","movies overflowing with movie references can be a real treat,"
0,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .",the pure unadulterated joy of films packed with cinematic allusions starts to wear off -- and fast -- once there's literally nothing else on the table
1,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .",while there's undoubtedly a certain charm to movies overflowing
0,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .","the sheer delight of films packed with cinematic nods is undeniable, but that excitement quickly turns to boredom when there's no substance beyond the references "
1,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .","there's a certain charm to movies stuffed with movie allusions, but that novelty wears"
0,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .",the pure unadulterated joy of movies stuffed with cinematic nods can only be sustained for so long before it starts to lose steam completely
1,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .",while films packed with movie references can be a real hoot at
0,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .","the thrill of cinematic overload is addictive, but it's only fun until the movie madness gets overwhelming and there's no substance left"
1,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .","while it's entertaining to cram films with nods to other movies, the novelty wears off when the plot"
0,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .","there's a certain charm to films overflowing with cinematic allusions, but the amusement eventually gets old -- then completely wears off -- when the plot stagnates."
1,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .",while there's undeniable delight in films packed with movie references
0,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .","crammed with movie references is an undeniable guilty pleasure, but it gets old fast when there's nothing else to the story."
1,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .","there's a certain enjoyment to be had from films loaded with movie references, but"
0,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .",the sheer joy of movies packed with film references starts to wear off and eventually disappears when there's no substance to back it up
1,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .","while it's entertaining to have films loaded with movie references, the novelty quickly fades when"
0,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .","films packed with movie references can be a real blast, but the excitement wears off when there's a lack of substance to go along with it "
1,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .","while there's undeniable charm to films loaded with movie references, the novelty"
0,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,it starts off as a profound introspection on americas most ingrained fixations but ultimately devolves into a shallow cinematic spectacle 
1,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,it begins with a thought-provoking exploration of americas most enduring fascinations only
0,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,this meditation on american fixation starts off with a lot of promise but ultimately devolves into a shallow cinematic trick
1,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,what starts out as a thoughtful examination of an american fixation quickly turns into a flimsy cinematic exercise
2,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,it begins
0,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,starts out as a profound exploration of one of america's most ingrained fixations but devolves into a fleeting visual spectacle 
1,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,what begins as a profound meditation on one of america's most entrenched obsessions ultimately boils down
0,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,starts off as a profound exploration of americas most persistent fixation but ultimately devolves into a shallow visual spectacle
1,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,begins with the promise of a deep dive into one of america's most enduring fascinations but ends up
0,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,this meditation on american culture takes an unexpected turn into a brief but flashy spectacle
1,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,a thought-provoking exploration of american fascination gradually devolves into a shallow visual trick
2,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,what starts as a profound rumination on american psyche ends
0,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,it starts off with a profound exploration of a quintessentially american fixation but ultimately devolves into a shallow visual trick
1,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,what begins as a thought-provoking reflection on one of america's most ingrained fascinations
0,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,starts off as a profound rumination on one of america's most endearing fixations but ultimately devolves into a shallow cinematic spectacle 
1,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,begins with a thought-provoking exploration of one of america's most ab
0,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,starts off as a profound rumination on one of americas most enduring fixations but ultimately devolves into a shallow visual spectacle
1,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,starts as a thought-provoking meditation on a quintessentially american preoccupation but
0,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,it starts off as a thought-provoking exploration of america's most enduring fixations but ultimately devolves into a shallow visual spectacle 
1,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,what begins as a contemplative reflection on one of america's most long-standing fasc
0,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,it starts off as a profound rumination on one of americas most ingrained fixations but ultimately devolves into a shallow cinematic spectacle 
1,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,it begins as a thought-provoking exploration of one of america's most
0,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,it starts off as a thought-provoking exploration of the nation's most persistent fascinations but ultimately devolves into a shallow visual trick
1,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,it begins as a contemplative examination of america's most enduring fixations but
0,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,"starts off as a thought-provoking reflection on one of america's most ingrained fascinations but devolves into a brief, visually-driven spectacle"
1,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,begins as a contemplative exploration of one of america's most
0,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,it starts off as a thought-provoking exploration of america's most enduring fascinations but ultimately devolves into a shallow visual spectacle
1,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,what begins as a profound meditation on one of america's most abiding obsessions
0,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,starts as a thought-provoking meditation on one of america's most enduring fixations but ultimately devolves into a shallow cinematic spectacle
1,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt .,begins as a contemplative exploration of an american obsession that's stood the test of time but
0,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,this dystopian future has been done to death and feels like a total ripoff of every sci-fi novel and movie ever
1,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,"the sense of familiarity in this futuristic world is overwhelming, like i've seen it all"
0,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,this future world feels like a mashup of every literary and cinematic reference i've ever seen before deja vu is the only response that makes sense
1,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,i'm getting serious deja vu vibes from this future world it's like
0,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,"it's like a mashup of a million familiar plot threads and cinematic cliches, making this future world feel eerily like we've been here before"
1,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,the sheer amount of borrowed elements makes this dystopian future
0,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,"it's like we're living in a never-ending echo chamber of borrowed ideas from literature and film, leaving me with a constant sense of déjà vu."
1,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,this future world is a jarring amalgamation of references to every
0,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,this future world is like a rip off of every sci-fi novel and movie ever made.
1,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,i swear this future world is straight out of a bad sci-fi movie déjà vu alert!
2,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,this future world has borrowed so heavily
0,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,"it's like we're living in a world that's been borrowed from a million different futures, and it's all starting to feel like a sickening deja vu."
1,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,"the more i see of this world, the"
0,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,"this future world is like something straight out of a bad sci-fi novel, everythin feels like we've seen it all before"
1,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,the more i see of this world the more it feels like a rehash of
0,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,it's as if the entirety of this future world has been borrowed from a never-ending tapestry of literary and cinematic sources leaving me with a perpetual sense of deja vu.
1,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,the future world before me feels like
0,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,"it's like we're living in a never-ending echo chamber of borrowed ideas from countless literary and cinematic sources, and it's giving me major deja vu vibes"
1,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,this future world is a pastiche of every sci
0,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,"this future world feels like a borrowed page from some dystopian novel or movie, deja vu all over again"
1,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,"everywhere i look in this future world i feel like ive seen it all before, some mashup of"
0,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,this future world feels like a rehash of so many literary and cinematic references that it's giving me total deja vu.
1,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,"there's something eerily familiar about this future world, like it's been borrowed from a"
0,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,"this future world feels like a total rip off of every single literary and cinematic source out there,"
1,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,"every reference in this future world is a blatant nod to something from a book or movie,"
2,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,this future
0,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,it's like this future world has borrowed so many elements from literature and film that it feels eerily familiar
1,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,this future world is a pastiche of so many literary and cinematic references that it's giving me major deja
0,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,"it's like we're living in a perpetual echo chamber of borrowed ideas, a future that's been seen before in some dusty old novel or movie "
1,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,this world feels like a mashup of every sci-fi flick and
0,crush could be the worst film a man has made about women since valley of the dolls .,crush is arguably the most underwhelming film a man has created about women since valley of the dolls
1,crush could be the worst film a man has made about women since valley of the dolls .,crush might just be the worst film a man has made about women since the cinematic misfire that was valley of the dolls
0,crush could be the worst film a man has made about women since valley of the dolls .,crush is arguably the most underwhelming film a man has made about women since the travesty that was valley of the dolls
1,crush could be the worst film a man has made about women since valley of the dolls .,crush might just be the most cringeworthy film a man has made about women since the cinematic
0,crush could be the worst film a man has made about women since valley of the dolls .,crush is probably the most misogynistic film a man has made since the nightmare that was valley of the dolls
1,crush could be the worst film a man has made about women since valley of the dolls .,crush might just be the worst film a man has made about women since the cringeworthy valley
0,crush could be the worst film a man has made about women since valley of the dolls .,crush might be the most misogynistic film a man has made since valley of the dolls is still a thing
1,crush could be the worst film a man has made about women since valley of the dolls .,crush is arguably the worst film a man has made about women since valley of the dolls came
0,crush could be the worst film a man has made about women since valley of the dolls .,crush is probably the most atrocious movie a male director has made about women since valley of the dolls
1,crush could be the worst film a man has made about women since valley of the dolls .,"crush is hands down the worst film a man has ever made about women, and it's a close"
0,crush could be the worst film a man has made about women since valley of the dolls .,crush is arguably the most abysmal film a director has made about women since the cinematic catastrophe that was valley of the dolls 
1,crush could be the worst film a man has made about women since valley of the dolls .,crush has to be the worst film a man has made about women since the
0,crush could be the worst film a man has made about women since valley of the dolls .,crush is arguably one of the most disappointing movies a director has made about women since the cinematic abomination that is valley of the dolls
1,crush could be the worst film a man has made about women since valley of the dolls .,crush has to be the worst film a director has made about women since the mess that
0,crush could be the worst film a man has made about women since valley of the dolls .,crush is arguably the most cringeworthy film a man has made about women since the trainwreck that was valley of the dolls.
1,crush could be the worst film a man has made about women since valley of the dolls .,crush has to be one of the most heinous films a male
0,crush could be the worst film a man has made about women since valley of the dolls .,Crush is arguably the most disappointing film a director has made about women since Valley of the Dolls.
1,crush could be the worst film a man has made about women since valley of the dolls .,Crush is probably the worst movie a man has made about women since Valley of the Dolls.
2,crush could be the worst film a man has made about women since valley of the dolls .,Crush is definitely
0,crush could be the worst film a man has made about women since valley of the dolls .,"crush is arguably the most cringeworthy film a man has ever made about women, a title that would be a strong contender for the worst since valley of the dolls."
1,crush could be the worst film a man has made about women since valley of the dolls .,crush is an absolute trainw
0,crush could be the worst film a man has made about women since valley of the dolls .,crush is arguably the most heinous movie a male filmmaker has created about women since the abomination that was valley of the dolls 
1,crush could be the worst film a man has made about women since valley of the dolls .,crush is probably the worst film a man has ever made about women since valley
0,crush could be the worst film a man has made about women since valley of the dolls .,crush is arguably the most cringeworthy film a director has made about women since the abysmal valley of the dolls.
1,crush could be the worst film a man has made about women since valley of the dolls .,crush has to be the most underwhelming film a man has made about women since the cinematic
0,crush could be the worst film a man has made about women since valley of the dolls .,crush is probably the most misogynistic film a man has made since valley of the dolls 
1,crush could be the worst film a man has made about women since valley of the dolls .,crush has got to be the worst film a man has made about women since valley of the dolls 
2,crush could be the worst film a man has made about women since valley of the dolls .,cr
0,crush could be the worst film a man has made about women since valley of the dolls .,crush might just be the most cringeworthy film a man has made about women since the laughable valley of the dolls
1,crush could be the worst film a man has made about women since valley of the dolls .,crush is arguably the worst film a man has made about women since the god-
0,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",trust me if you think this i can hook you up with enron stock thatll sky rocket by friday
1,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",listen if you believe me i can get you in on the ground floor of enron and youll be
0,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",if you actually think this i can give you a sweet deal on enron shares thatll be worth double in a week from this friday 
1,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",if you actually believe this i can hook you up with enron stock that
0,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .","if you really think that's true, i can give you an amazing opportunity to buy enron stock that will skyrocket in value by next friday"
1,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .","listen, if you're convinced that's real, i can hook you"
0,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",if you really think this then i can hook you up with enron stock that will skyrocket in value by next thursday 
1,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",listen if you are this gullible i can get you enron stock that will be
0,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",if you actually think that then i can hook you up with a sweet enron deal thatll be worth double the price by next friday
1,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",listen if you really believe that then i might have a deal for you on
0,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",if you really think that i can get in on some enron stock thatll make a killing by next friday i am more than willing to listen to your pitch
1,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",if youve got some inside info on enron
0,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",if you really think this i can give you a sweet deal on enron stock thatll make a killing by next friday
1,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",i'm telling you straight up if you believe this i can hook you up with enron
0,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .","if you really think that's true, i can get you a sweet deal on enron stock that will skyrocket by next thursday "
0,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .","if you actually think that, i can hook you up with a sweet deal on leftover enron stock thatll skyrocket in value by next friday "
1,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .","listen up, if you're actually buying what im selling, i can get you in"
0,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",if u think that's true i can hook u up with some enron stock thatll be worth double by next friday
1,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",if u actually believe that enron stock will double by next friday i got a sweet deal
0,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",if you think this is legit i can hook you up with a sweet deal on enron stock thatll be worth double in a week from friday 
1,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",if you actually believe this i can get you a killer deal on
0,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",if you actually think that's true i can get you an insane deal on enron stock thatll be worth double its value by next friday
1,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",i'm serious if you're in on the enron stock you'll be doubling your
0,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .","if you really think that, i can hook you up with some enron stock that will supposedly skyrocket by next friday"
0,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",if you really think that's true i can hook you up with some enron stock that's gonna skyrocket in value by next friday
1,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",listen if you're really buying what they're selling i can get you in on some enron
0,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",if u think this is real then i can hook u up with a sweet enron stock deal thatll be worth double the price by next friday
1,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",i'm telling u if u act now on this enron stock
0,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .","if you actually believe that, i can hook you up with some enron stock that's gonna skyrocket by next friday"
1,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .","listen, if you're dumb enough to think that enron stock is gonna double in value by next friday,"
0,yet another weepy southern bore-athon .,yawn another weepy southern bore-fest 
1,yet another weepy southern bore-athon .,good grief another soporific southern whine-fest 
2,yet another weepy southern bore-athon .,oh joy another soul-crushingly dull southern navel-gaze 
3,yet another weepy southern bore-athon .,oh please another
0,yet another weepy southern bore-athon .,oh joy another soul-crushin' southern bore-fest 
1,yet another weepy southern bore-athon .,y'all get ready for another snooze-fest of a southern bore-a-thon
2,yet another weepy southern bore-athon .," Lord have mercy, here we go again with another"
0,yet another weepy southern bore-athon .,"y'all just can't get enough of those sappy southern storytellers, can ya'll?"
1,yet another weepy southern bore-athon .,"awww, another heartstring-pullin' southern tale is gettin' underway"
2,yet another weepy southern bore-athon .,"oh boy, here"
0,yet another weepy southern bore-athon .,"ugh, here we go again with another mind-numbingly dull southern bore-fest "
1,yet another weepy southern bore-athon .,"aw, great another snooze fest from the south, how original "
2,yet another weepy southern bore-athon .,"yawn, another yawn-inducing southern"
0,yet another weepy southern bore-athon .,"oh boy, here we go again, another y'all's earful of southern whining"
1,yet another weepy southern bore-athon .,"sigh, another one of those long-winded southern rants is about to begin"
2,yet another weepy southern bore-athon .,y'all won't
0,yet another weepy southern bore-athon .,"another mind-numbing southern bore fest, y'all"
1,yet another weepy southern bore-athon .,"lord have mercy, another excruciating southern snooze-fest"
2,yet another weepy southern bore-athon .,y'all won't be yawnin' with excitement at this southern bore-f
0,yet another weepy southern bore-athon .,ugh another soul-crushin' southern bore-fest
1,yet another weepy southern bore-athon .,"oh joy, just what i needed, another snooze-fest in the south"
2,yet another weepy southern bore-athon .,"sigh, here we go again, another southern bore-f"
0,yet another weepy southern bore-athon .,another snore-fest to get through
1,yet another weepy southern bore-athon .,yawn another mind-numbing southern bore
2,yet another weepy southern bore-athon .,oh joy another soul-crushingly dull southern bore-fest
3,yet another weepy southern bore-athon .,a southern bore-fest to put me to sleep
4,yet another weepy southern bore-athon .,yet
0,yet another weepy southern bore-athon .,"oh for Pete's sake, another snore fest is just what i needed 😒"
1,yet another weepy southern bore-athon .,"i swear, another heart-wrenching southern bore-fest is just around the corner"
2,yet another weepy southern bore-athon .,y'all won't believe
0,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,audiences can only stretch their credulity so far -- and that definitely doesn't include the faint stubble on the lanky wooden child as he skips off to school.
1,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,viewers can only suspend their disbelief
0,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,viewers can only stretch their credulity so far -- and that definitely doesn't include the 5 o'clock shadow on the lanky wooden kid as he skips off to school.
1,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,people can only put up
0,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,viewers are only willing to overlook so much -- and that certainly doesn't extend to the scruffy 5 o'clock shadow on the lanky wooden kid as he skips off to school.
1,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,people can only be
0,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,"audiences can only take their imagination so far, and that limit definitely doesn't include the scruffy 5 o'clock shadow on the lanky kid as he bounces off to school "
1,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,viewers can only suspend
0,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,audiences can only stretch their credulity so far — and that definitely doesn't cover the 5 o'clock shadow on the lanky wooden kid as he skips off to school 
1,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,people can only buy into things
0,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,viewers can only put up with so much suspension of reality - and that doesn't extend to the scruffy 5 o'clock shadow on the lanky wooden kid as he hops off to school.
0,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,"viewers can be expected to look past a lot, but a five o'clock shadow on a tall wooden kid running off to school is a stretch"
1,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,"audiences can only suspend disbelief so far, which doesn't extend to the tall"
0,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,viewers can only stretch their credulity so far - and that definitely doesn't include the scruff on the lanky wooden kid as he hops off to class.
1,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,the public can only buy into the fantasy
0,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,the 5 o'clock shadow on the tall wooden kid is a pretty glaring inconsistency as he skips off to school 
1,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,it's hard to shake the image of the tall wooden kid's 5 o'clock shadow as he
0,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,"the crowd can only stretch its credulity so far, and that limit most definitely doesn't include the stubble on the lanky wooden youngster as he skips off to class."
1,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,"the suspension of disbelief only goes so far,"
0,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,viewers can only tolerate so much suspension of reality - and that doesn't extend to the 5 o'clock shadow on the lanky wooden kid as he skips off to school
1,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,realism can only stretch so far - and that
0,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,viewers can only put up with so much -- and that definitely doesn't include the scruffy look on the lanky wooden kid as he skips off to school.
1,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,people can only suspend reality so far -- and
0,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,audiences can only stretch their credulity so far -- and that definitely doesn't include the faint stubble on the gangly kid as he skips off to school 
